trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.5, 'e': 0.2962808729253187}",20,0,26.538488305846382,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.28671520963195546}",20,11,5.82010905251317,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2771208750565576}",20,4,20.03868643389653,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",20,0,-39.76886394368334,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.2578500325326696}",30,0,-12.42271370070204,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,19,4.075826803106265,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",25,17,3.6590635712333786,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",25,0,16.175572657530772,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,12,2.7764628545065673,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,3,-23.961146638600614,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.19944972099757285}",20,12,-4.6895127898725635,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,6,-0.07187556732397571,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.17981297767299934}",20,13,17.667437134427605,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,12,12.724535657429232,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16010431155483126}",20,0,-2.508854740729727,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,7,16.329221850913708,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.1403316058467367}",20,8,21.094286046401116,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.13042370873814554}",25,14,9.29441186714524,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.1205027693673666}",35,21,17.685400583828272,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.11056977982006957}",25,16,17.947330149226755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.10062573338693172}",25,8,6.614029097624288,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.09067162446430967}",20,13,11.90738781909127,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.08070844845480062}",20,10,-24.972107243196124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,11,12.102492571220896,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.0607588812193859}",20,0,12.955137856497423,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.05077448493357918}",20,12,14.505715143848795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.040785011241591035}",20,10,21.215594198533804,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.030791459082466124}",35,25,18.601037425007448,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.02079482780309243}",20,12,4.918117208050383,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.010796117058267392}",20,8,18.80390112461541,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.0007963267107332633}",25,16,15.811541961105544,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': -0.009203543268808336}",25,12,23.674354805775252,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,13,35.42949116233626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,17.104667342601385,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,19,11.407882918099698,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,11.258288875354657,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,21,14.325492977177268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,24.91991710164049,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,16,25.30773096400106,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,24.901546503009392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,20.582761166028504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,16,16.460996677517414,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,35.12679357278408,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,13,31.411941585727874,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,6,21.036518251354334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,8,29.63342444768193,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,6,20.938517022800873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,12,16.960824405740368,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,15,29.822053774283372,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,13,25.66491005433417,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,16,18.138528243867817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,15,16.305870843527448,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,15,18.828954183585008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,13,25.997947083622705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,11,18.167839303342884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",30,19,19.378844384549225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,16,9.055860192953507,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,6,34.31534632391932,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,20,11.390676375263022,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,7,33.146150197542525,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
